mean_fiber_ra,mean_fiber_dec,z,zerr,flux_g,flux_r,flux_z,morphtype,shape_r
195.9601539658001,28.1786077114231,0.02122220058879233,3.180084794917915e-05,112.765945,204.14436,316.3955,SER,4.126032
194.1799776272693,26.74200465383424,0.02319314193455727,1.396141911723787e-05,216.97513,434.6729,683.18756,SER,3.4501996
194.4760577063395,27.62805288784273,0.02575051652980783,5.229274493642771e-06,36.124958,59.397026,81.08071,REX,1.6970975
194.5669271892616,29.09255573569521,0.01955276279259705,4.161534657653153e-06,23.658419,31.461912,36.33657,SER,2.3642392
194.7421522987582,27.59474207640424,0.02009877391295821,1.606475658636965e-05,0,0,0,DUP,0
195.1214942522383,26.67534430849706,0.02403991086759395,5.44371656548634e-06,1106.774,2282.4272,3911.0437,SER,4.895376
194.1537359698564,27.88488515820249,0.02114163415175932,4.683131335124155e-05,88.29976,170.25946,266.05496,SER,7.447161
195.1398178847051,27.5041205714188,0.01862248180106636,1.16889215528974e-06,297.8777,395.52487,467.5778,SER,4.4389505
194.8666028171896,28.128300393867,0.01838860831667521,6.255284695688357e-05,15.467679,28.885101,43.12519,SER,3.616042
195.2709826163943,28.19685919829433,0.02151520184077568,3.814936063513793e-05,33.605442,62.767315,97.49164,SER,2.313389
194.9178344002945,27.96821627746748,0.02523477818828328,1.447747440214897e-05,279.75107,600.7483,1065.119,SER,4.6858153
194.1019214092204,27.53845992489688,0.02541291882126287,5.210717639879999e-05,30.749573,57.18065,85.16866,SER,3.772675
194.3993814044969,27.49325652799526,0.02442873584972087,1.016504563028502e-05,1296.9718,2851.7505,5237.2036,SER,3.9461288
192.6344445327413,26.91413161475398,0.02621167256418248,3.279013276918728e-05,20.829876,39.121483,59.077522,REX,2.1000319
193.9846491861833,27.24884551104707,0.0293362098413515,4.043194966306758e-05,27.174803,52.0137,81.4452,REX,1.1650258
194.5636637612505,27.46471027597894,0.02550796043244936,3.454400816324607e-05,41.089302,83.03138,133.61285,SER,2.605949
194.798340471018,28.20720337450897,0.02526219115848368,7.074280650758642e-05,14.05987,26.479376,38.94622,SER,3.199215
194.8641110391759,28.54079659908259,0.02708734610842422,0.0001208813778189917,61.98407,90.19539,115.36283,SER,6.148431
195.6589408509986,28.50188148421108,0.01929363909290141,1.994755254741311e-05,199.51282,375.94385,584.7037,SER,9.095664
194.0053125757141,27.44003549115669,0.02507795563478644,8.620500170707462e-05,19.786547,39.095356,59.342228,SER,2.4241805
195.0040816244569,27.94547605357012,0.02288264568657929,4.283821895637216e-05,141.08739,276.2559,439.58707,SER,7.6362476
195.4382779051059,27.82477316418599,0.02523737219466667,4.611577981140412e-05,26.861225,49.896725,75.208885,SER,2.5157316
194.9342041930937,27.86769265686213,0.02079910854217191,2.920551946223321e-05,170.05852,344.59033,559.99945,SER,4.2198744
195.1843527404478,27.85832749540278,0.01762988002978759,4.045134473465901e-05,11.133425,20.309326,29.554531,REX,1.1373696
195.9791526557727,27.71183808281535,0.02454159062793579,0.0001071451770696217,11.83975,19.84975,25.940882,SER,3.4643722
193.6873439809876,27.41108116371571,0.02587186852236873,3.272070550256941e-05,60.67964,114.885994,179.81158,SER,3.9340847
193.9387793321068,28.76508064705508,0.02248736364833485,2.541596794186229e-05,40.736485,78.246925,121.6914,SER,2.6348166
194.0824523330808,27.75107403070493,0.02302241663115065,1.054680887180429e-05,0,0,0,DUP,0
195.259987762891,27.77532388586283,0.01725803454483043,6.2493479129844e-06,30.604124,44.644398,54.31315,SER,2.6895065
195.1580152451857,28.05745689704765,0.02577798105783286,1.595390506609128e-06,773.865,1355.6868,2212.6177,SER,7.9351287
195.3522151482641,29.30837680743904,0.02387313336891351,7.686691534813495e-06,313.75815,669.07733,1358.1986,PSF,0
193.8862148546111,26.90919380820084,0.02610572720770206,4.024193394317333e-05,36.099323,70.314026,113.018364,SER,1.9470905
193.9574271678553,27.08884867698134,0.02303809448044019,7.858927938881815e-05,62.733757,113.86414,165.69171,SER,5.699499
194.1609489779185,26.87607860429911,0.02309465271198419,4.610446772789151e-05,16.079176,29.684185,45.252995,REX,3.3493278
196.2951479829528,28.75217703490858,0.01976550617877293,3.683729712920981e-06,6.931699,10.556455,11.940043,EXP,2.2406197
193.954192439993,27.90585651089726,0.02319196951310028,6.013194187035143e-06,522.1352,1104.2379,1942.3376,SER,4.37577
194.3029272922836,28.13365256140402,0.02331265347588272,4.677284925571852e-05,52.187546,95.3634,139.68143,SER,5.0636024
194.35521332384,27.40462305188359,0.01611005959805627,3.273667697341964e-06,538.026,936.792,1398.5126,SER,3.7398505
195.3037461591124,28.17256776013178,0.03232873924029411,6.352135736269555e-05,23.800367,43.776577,68.15965,SER,2.2979612
195.5728173743589,28.55466746821151,0.02217666819209153,4.239233115471457e-05,10.818222,17.576954,23.943766,EXP,3.3684838
194.4301371386965,27.5776208093817,0.02415381423204521,1.332261365424503e-05,174.4424,356.4242,591.6207,SER,2.765019
194.8999022158977,27.90613133679231,0.03024498690663373,5.085067774561313e-05,35.298977,69.907425,109.15966,SER,1.9991026
195.736511444232,27.31705867643971,0.0228486839341526,4.28082515558698e-05,32.493103,61.331512,90.737144,SER,3.3018157
193.3981975653194,27.75873144823631,0.02495861284885802,1.657730439935962e-05,327.84177,610.61707,944.5911,SER,4.9132576
195.2556052542551,27.52044957966326,0.02809034638019667,2.022816820241842e-05,60.629745,118.36899,185.6358,SER,2.060575
195.4227826885345,28.07731232798166,0.02262452060405853,7.596992404962237e-05,12.391533,23.10548,33.885544,SER,3.5542812
194.7719973994544,27.27249036743616,0.02468405402029799,6.326363554845732e-05,8.907075,15.085448,20.85841,SER,3.1846225
193.4758568620579,26.96637413969741,0.02067632741584251,1.703353428827783e-05,447.88837,913.36743,1551.446,SER,6.244594
193.3921397756917,27.45850205660005,0.01732249774954366,1.090638788250055e-05,55.7206,74.496086,89.36792,SER,4.046497
193.8518255840675,27.28051208747505,0.02193338248593416,4.396749051038691e-05,49.117615,89.78879,132.26149,SER,4.2601314
192.5644115908126,27.06030690447442,0.02224677487912185,9.703564697938609e-06,82.49752,163.18318,264.24298,SER,2.9803395
194.9096870458359,27.98717678041454,0.02279442268475684,1.739582794900978e-05,419.10626,856.663,1458.0317,SER,9.925974
194.9134429152734,27.99855525176369,0.02350910101629641,9.109967409892188e-05,5.214751,10.951656,18.926569,REX,0.25123718
195.1282215579065,28.34641163985834,0.01988431227538184,1.026633805428366e-05,0,0,0,DUP,0
195.3516842275562,28.67712760109656,0.02935996228552037,1.503811720448484e-06,0,0,0,,0
195.0155707033574,27.96487174656022,0.01788726476787156,2.246380420342817e-05,93.51189,193.26485,313.791,SER,4.2889767
194.6445601731762,26.94457152728914,0.02229686727646641,7.050825374886317e-05,14.572218,27.112906,41.63209,REX,2.3462145
194.5826719605852,27.49546711294997,0.02733650871466142,5.353715983458951e-05,22.474833,43.788578,67.89525,SER,2.2406895
194.879707232335,27.95494394891343,0.02380652146995857,5.957247887569506e-05,81.26562,159.94208,258.39395,SER,6.4976
194.700687219353,28.01872616081058,0.02371392879315808,4.800691673746693e-05,130.26334,251.1607,397.20123,DEV,13.150492
195.7335578171572,28.45099451787051,0.02298500355124525,9.692990975185112e-05,12.391228,23.361244,34.414677,SER,1.903893
193.6378536854558,27.57086835932323,0.02395608018570653,6.642537821441431e-05,41.455097,76.80806,114.58418,SER,5.768353
193.8658410851029,27.65612710225415,0.02345092789508998,5.244452281784231e-06,1399.318,2997.1172,5352.4,SER,9.933824
193.0878947894603,28.44151946319389,0.02183499816011053,2.417292444016972e-06,5.81847,7.964165,9.074409,SER,0.9897445
195.8241746969301,28.02895440389852,0.02088583692909888,0.0001274563129528005,0,0,0,,0
194.233040612077,27.4624131962971,0.0254435357407528,4.356234965963051e-05,73.16204,145.3129,233.53375,SER,4.3405514
194.711374467677,27.3935765153625,0.02556128598436247,6.286083440028574e-05,41.287716,76.56319,116.71409,SER,2.607121
194.8062490175234,27.77463223953897,0.02283605655557706,1.289011282331462e-05,0,0,0,DUP,0
196.0931093870681,28.76307942304393,0.01842869347894738,8.170858062047556e-06,0.28770152,0.0961864,0.17083311,PSF,0
194.9969539913641,27.60333030667966,0.02231850703973537,8.60961686957452e-05,34.279343,57.779102,79.69202,SER,4.635687
194.5457584272331,28.70932788804795,0.02588223736050968,3.244192254401374e-06,0,0,0,,0
196.1615466190265,28.97268765657099,0.02530798071423525,2.299145201446013e-06,165.65375,230.76581,282.0054,SER,3.037876
195.2811567280938,27.93424123453007,0.02701042860870355,4.266014528185056e-05,29.963188,57.771717,89.88243,SER,4.2883554
194.6183379751196,27.55938785952046,0.02530262356059526,6.761340412729097e-06,373.50986,641.85803,936.28766,SER,4.304904
195.4468148120109,27.6218434495758,0.02596320519115497,5.748588726831064e-05,102.09153,202.11447,325.6081,SER,5.8943396
195.2967817659256,27.7425232579405,0.02463127784339135,7.414449033194615e-05,51.089527,99.35158,158.4563,SER,4.2969084
195.2799486803955,27.98310068319523,0.02360106198655417,0.0001141088688604432,18.478453,35.026432,52.024975,SER,2.895295
193.90278137037,26.56433743601563,0.02108644836758982,2.1569941087695e-05,45.516094,86.24812,134.1184,SER,3.5354764
194.1424417074372,27.53898955847023,0.02373879208397459,1.067139685887245e-05,0,0,0,DUP,0
195.1355150045365,27.76615028585057,0.02234373121495161,8.804465797069251e-06,351.83978,732.9972,1286.4995,SER,6.3303065
194.8866163513562,27.98361240662599,0.01942555197697127,1.57048016245419e-05,0,0,0,DUP,0
194.5386113834414,28.7086764570214,0.02542218388521978,3.345965097105119e-06,995.54126,1880.6068,3225.1846,SER,16.014374
194.7751487033124,27.99675342787729,0.02561394596422172,1.867022047839309e-05,0,0,0,DUP,0
195.0195756017935,27.98342442710777,0.02130645399398251,7.967982033762141e-05,0,0,0,,0
196.1551889667181,28.60863261270168,0.02528371381747018,1.092307063045079e-05,0.81005955,0.94197184,1.2010877,REX,0.51549226
193.5667806780384,27.303782495272,0.0215399803701907,7.09779909864522e-06,1481.1061,3130.5317,5525.024,SER,9.284746
194.2131712649979,26.89885549922263,0.02074545515860348,6.120509798906676e-06,0,0,0,DUP,0
195.2027417026604,28.09075356434272,0.02323407449256568,1.041161425349128e-05,0,0,0,DUP,0
195.1161452168702,27.27178922686504,0.02590259588148311,2.016081156871812e-05,43.26586,82.88129,130.60754,SER,1.8525202
195.4080797854738,28.34609312862024,0.0293035524407416,5.199179646126433e-05,22.59128,40.52009,57.935783,SER,3.8904166
193.9089396601369,27.8413585023061,0.02085596916760301,7.456761788946634e-05,10.14771,17.647276,25.778421,REX,1.8915315
194.3611328958601,27.84131221391015,0.0209071978473932,4.6200136416445e-05,14.633477,27.05875,39.361797,REX,2.1442869
196.0712487295432,27.80804503215598,0.02211594815539845,4.40031175364565e-05,24.178446,44.95641,68.53649,SER,2.4261687
194.1412164502533,28.91988219070623,0.0231002525708757,6.067797176447031e-06,16.140837,23.173702,27.927074,SER,2.44815
193.3413022944404,28.12199338797656,0.02429091294465427,5.056220736618807e-05,12.264351,23.391563,33.670452,SER,4.7452283
194.7094709771487,26.89230832882899,0.0270395443318946,7.712294053406701e-05,5.3220596,9.0549,12.363727,REX,0.855414
195.0526371458579,27.78183913319203,0.02341666159592767,1.53099386715279e-05,380.45255,757.96674,1254.0541,SER,6.7338967
194.5370135588701,27.91805101964107,0.01988437752943677,3.853097273000168e-05,16.381113,31.74273,50.503094,REX,2.6508634
193.939114978863,27.79637303727708,0.02289516934507125,5.245010946863065e-05,73.5593,142.38237,224.61417,SER,4.847587
195.079639634456,27.55370955267735,0.01967074504193951,7.954833784795557e-06,644.1434,1342.2848,2342.5493,SER,4.59719
194.878491972536,28.0418870922318,0.02148817662854748,7.127415707786292e-05,18.667734,36.68139,57.00548,REX,2.0725684
195.8111820183126,27.94109129814176,0.0235369784320368,7.462308871485132e-05,9.129692,16.81891,25.39912,REX,1.3057829
193.5229908509211,27.06861636229394,0.02529019889039474,1.160289509987676e-05,1231.8756,2517.4524,4335.29,SER,11.85085
194.8473624127257,27.91159970847841,0.02282137396657084,1.0488171021497e-05,1851.73,4046.9402,7250.639,SER,6.696983
193.1345084646675,27.68714559816437,0.02146067689527309,4.768812705327488e-05,11.438012,21.46022,31.100767,SER,2.5780494
195.3112039711577,27.67013039213497,0.02319047940491955,0.0001033866560040983,0,0,0,,0
195.0475586522641,27.91012264995335,0.02429849888302498,4.366625891100486e-05,24.62507,48.260902,75.17383,SER,4.163157
195.0041330719325,27.99154332544073,0.02517115670055608,5.965664315537475e-05,23.167343,47.540806,79.66064,REX,1.8139161
194.8658747074609,27.18400200624362,0.01914889929851371,0.0001176520855597128,21.826752,37.38907,51.92571,SER,1.7320969
193.9447604636689,28.14394678018876,0.02028855855234843,7.461207344336296e-06,505.8794,1019.42035,1719.4436,SER,11.606747
193.4450820072424,27.48750782872331,0.01696396118709841,2.12960658379467e-06,99.64388,144.57019,185.54218,SER,4.738676
195.2783977282143,26.80943220291938,0.02299663953239475,3.013349776759601e-05,89.69528,169.0855,256.43863,SER,3.0648432
194.9795606912465,28.12836304775071,0.0253098104526642,1.51493869334122e-05,0,0,0,DUP,0
196.0245153787872,28.21879292398567,0.0216979838406296,5.532575189647988e-05,24.42916,39.961075,55.864784,SER,2.591745
195.3272226222985,29.50717330447992,0.02350591910892637,1.121109354245342e-05,12.019299,16.077112,19.98818,EXP,4.6240487
194.8130398693939,27.59317684995832,0.01978860936604539,5.257178377394998e-05,9.8918915,18.130669,25.91296,REX,1.0382018
194.9343040398537,27.9589078243703,0.02294887436522858,1.647834026935409e-05,0,0,0,,0
195.3138830500516,27.92910151925172,0.01855295351382533,7.981381071913972e-05,12.142879,23.109331,35.66581,REX,1.9943185
195.6658776061415,28.37367046038906,0.02436715606680046,6.257412244341232e-05,0,0,0,,0
194.1213551607601,26.95699365477707,0.02351801543942406,2.841199059404803e-06,1451.978,2993.5266,5088.9277,SER,5.6070123
194.1991013683185,27.42105595809504,0.02593080639096512,2.104624386856087e-05,0,0,0,DUP,0
194.4607069777892,27.6437550871098,0.02276572283571373,1.06392762842895e-05,86.406815,167.14738,266.7805,SER,2.7146575
193.3210841726537,27.66413468395077,0.0216473440177883,5.018988544764549e-06,0.5478838,0.538454,0.9291218,REX,0.41178614
194.523942298403,27.38272613398965,0.02465772514662926,4.687011405954834e-05,14.945813,28.437254,41.795296,SER,3.3581502
194.2357613075599,28.62337860701875,0.02191970718729499,4.964217703194848e-06,705.81506,1442.8422,2506.3242,SER,6.3295074
195.5757204265284,28.98811538181769,0.02230335038165062,2.79384802972933e-06,13.202722,15.849132,17.724834,EXP,1.1913886
195.9616673178296,27.9883535486865,0.02122459096270812,6.057499231204511e-06,1183.6626,2459.3992,4344.151,SER,5.570496
194.4572873379498,29.04549694734225,0.02287141523353486,3.137454792971068e-06,0.6716762,0.82655656,1.3163078,EXP,0.8898354
194.5648926409509,27.08719797709797,0.02577991233318895,1.994459725987173e-05,149.89828,282.77478,439.0228,SER,7.8070745
194.7115678232112,28.08401303900907,0.0203345020405583,1.293363076799439e-05,452.25677,921.451,1661.313,SER,3.788271
195.2979571803028,28.03787449795145,0.01888072483645177,6.559081368217521e-05,6.9314685,12.761687,17.917923,SER,1.3372278
195.1137635251068,27.4385464754879,0.02438032977105806,4.806317561804914e-05,13.155018,19.223486,24.701925,SER,3.287956
196.6516855098337,27.87292598320348,0.0208907271417705,2.415215267781221e-06,687.2962,1344.9125,2369.244,SER,9.619702
193.9978369905311,27.95706853791209,0.02683840625667174,0.0001027609400895826,0,0,0,,0
195.2946229886611,27.80292518636887,0.02237443628485279,7.119870475317924e-06,637.34894,1307.0765,2302.6384,SER,7.018315
194.946831407029,28.05445999146835,0.03137704980338128,5.526093702535572e-05,27.671392,51.95621,74.367676,EXP,6.0730453
195.1648337681132,29.01933516777176,0.02426992066072362,1.237423136879186e-05,2154.1504,4173.564,7199.359,SER,22.384453
193.2267669659796,28.37613843973936,0.02275149217152769,2.866796522553991e-05,0,0,0,,0
194.8046947809916,27.97700793339784,0.02273959286743118,1.06374667173768e-05,1857.1401,3991.9214,7235.283,SER,7.113649
194.3911212962042,28.4822358017097,0.02091330324170654,8.725756598666224e-06,1841.1499,3814.361,7188.748,REX,7.3311634
194.9421946742143,27.85726302091916,0.02707441641970963,1.36715986211806e-05,0,0,0,DUP,0
193.9490553040023,28.25614280100482,0.02707622631726548,6.902182186839284e-06,303.18158,737.3207,1545.3025,SER,7.6062837
194.2721524477325,28.21137567458318,0.01733993171831924,5.1094120783099e-06,0,0,0,,0
194.6622524595335,27.95392285922969,0.0200149556255348,2.183266347737835e-05,149.16422,296.64966,464.84683,SER,4.7346287
