mean_fiber_ra,mean_fiber_dec,z,zerr,flux_g,flux_r,flux_z,morphtype,shape_r
194.5726062577492,24.84273276606944,0.07902071207584008,1.473879117901257e-05,154.15085,357.53033,650.45953,SER,2.9556322
195.1148117732964,24.40166106047672,0.07362359282571308,1.926693008166293e-05,9.758482,20.211897,35.225094,SER,1.8119907
193.9564844917866,27.01201582785631,0.04688857645190474,6.216164884775052e-05,0.29270834,0.28666717,0.36341852,PSF,0
195.6489538475565,26.00672195139468,-0.0001435420835290497,1.714748500753061e-05,35.97461,45.9038,47.18008,PSF,0
195.9601539658001,28.1786077114231,0.02122220058879233,3.180084794917915e-05,112.765945,204.14436,316.3955,SER,4.126032
199.5172829250463,27.90150024059221,0.07468405322008409,1.248948577408358e-05,246.51471,426.6811,613.44745,SER,0.72994906
194.1799776272693,26.74200465383424,0.02319314193455727,1.396141911723787e-05,216.97513,434.6729,683.18756,SER,3.4501996
194.4760577063395,27.62805288784273,0.02575051652980783,5.229274493642771e-06,36.124958,59.397026,81.08071,REX,1.6970975
194.5669271892616,29.09255573569521,0.01955276279259705,4.161534657653153e-06,23.658419,31.461912,36.33657,SER,2.3642392
196.0305561590363,25.72520507882286,0.02423051112646809,1.100984646840618e-06,105.99739,141.2041,161.90422,SER,4.3241997
196.3709866739179,26.08105720357723,0.06415197670259559,4.180829583196801e-06,114.163414,202.46985,319.41336,SER,3.1007695
194.7421522987582,27.59474207640424,0.02009877391295821,1.606475658636965e-05,0,0,0,DUP,0
195.7984562912231,24.67492392782906,0.07376603607700277,2.706695425266813e-06,16.502922,24.370802,32.206352,REX,1.11174
195.1214942522383,26.67534430849706,0.02403991086759395,5.44371656548634e-06,1106.774,2282.4272,3911.0437,SER,4.895376
195.1714874674458,27.8949823404499,0.06099861020346655,3.3362089874574e-06,157.26471,295.40002,472.65573,SER,5.120767
196.2378795408185,28.4506078152118,0.06962712881184635,4.236040300355831e-06,50.0825,77.82523,107.56693,SER,2.7687685
195.0146805238383,25.003556587335,0.02584177861372973,4.190462215700705e-06,49.690945,67.32266,83.913956,EXP,5.1405683
193.4896117662965,26.38233629455375,0.04530568450632181,7.513514429513965e-06,12.052058,16.504742,21.012072,EXP,2.7683039
195.2578287760005,25.81717780240963,0.07525159697513871,3.50889760483802e-06,0.40568337,0.25698078,0.3038874,PSF,0
194.1537359698564,27.88488515820249,0.02114163415175932,4.683131335124155e-05,88.29976,170.25946,266.05496,SER,7.447161
195.1398178847051,27.5041205714188,0.01862248180106636,1.16889215528974e-06,297.8777,395.52487,467.5778,SER,4.4389505
194.8666028171896,28.128300393867,0.01838860831667521,6.255284695688357e-05,15.467679,28.885101,43.12519,SER,3.616042
194.917111101161,27.85490884976447,0.01272966361296166,1.185823587422137e-05,290.09683,600.29553,1055.01,DEV,5.99008
195.2709826163943,28.19685919829433,0.02151520184077568,3.814936063513793e-05,33.605442,62.767315,97.49164,SER,2.313389
194.0814412091445,31.33582117976532,0.01717519155787023,3.332259956601134e-06,57.564987,76.37596,91.84255,SER,1.642333
194.6805192919455,23.84695762208914,0.03125850253880198,2.165714158734545e-06,8.893163,12.644105,15.29038,EXP,1.8631989
195.2160996852272,24.34021968061738,0.07533930532934688,9.278570211629345e-06,104.96733,240.4887,490.66693,SER,5.1845255
195.1361817135515,25.78061806633551,0.07621370752032039,1.881333285392934e-06,93.09078,197.27376,338.51404,SER,3.179652
195.0098394204484,27.14981701329648,0.06173523037388421,5.201435718056959e-06,60.165325,114.96402,189.10564,SER,3.301091
194.9178344002945,27.96821627746748,0.02523477818828328,1.447747440214897e-05,279.75107,600.7483,1065.119,SER,4.6858153
195.6960192019965,23.46715253379468,0.064065233303356,1.64357626732206e-05,0.35858324,0.42924032,0.68618447,REX,0.23638794
196.028207832145,25.972462766782,0.0600272703420197,1.070077968337425e-05,492.13226,1138.1838,2253.243,SER,16.23844
194.1019214092204,27.53845992489688,0.02541291882126287,5.210717639879999e-05,30.749573,57.18065,85.16866,SER,3.772675
194.3993814044969,27.49325652799526,0.02442873584972087,1.016504563028502e-05,1296.9718,2851.7505,5237.2036,SER,3.9461288
195.0420327480637,28.46202223476808,0.06197105795126984,4.224582163998277e-06,10.354603,13.783217,15.55696,SER,1.124327
194.2353188262847,28.73769281981375,0.06926559715566204,2.030787124116934e-05,0.53739375,0.37384266,0.8062392,REX,0.54436976
194.669311259145,29.69662381702098,0.05729187526179151,1.108171450387189e-05,11.242774,19.492281,27.632025,SER,1.2495638
194.223924098767,25.09873476242749,0.07235520877192836,4.78759188160461e-06,6.3330064,10.7738,15.15625,REX,1.0777462
195.9744874505823,25.37272324551459,0.07315634524361268,2.572946660386192e-05,31.291346,51.544334,73.99592,SER,4.564778
194.5681744613941,27.72505186221262,0.06861254178126351,1.981769037099607e-05,0.9592611,0.6392741,0.20460217,EXP,2.5152
192.6344445327413,26.91413161475398,0.02621167256418248,3.279013276918728e-05,20.829876,39.121483,59.077522,REX,2.1000319
193.9846491861833,27.24884551104707,0.0293362098413515,4.043194966306758e-05,27.174803,52.0137,81.4452,REX,1.1650258
194.5795953602748,26.73435700444004,0.07031207605048856,4.321965174483988e-06,48.955257,81.79205,120.37328,EXP,6.071827
195.5489708634204,23.86896551839628,0.06121671851205341,6.609514677047744e-06,0,0,0,,0
196.3106656760643,24.84677317995437,0.07365445424198232,2.026764739231671e-05,160.90524,362.81763,667.6342,SER,3.6034684
194.5636637612505,27.46471027597894,0.02550796043244936,3.454400816324607e-05,41.089302,83.03138,133.61285,SER,2.605949
194.5757099132508,28.13692220604908,0.05049079731202866,1.437808067709381e-05,0.436371,0.54201716,0.70183384,PSF,0
194.798340471018,28.20720337450897,0.02526219115848368,7.074280650758642e-05,14.05987,26.479376,38.94622,SER,3.199215
195.7798314563022,27.87624959387835,0.06175448915892755,1.678091065927172e-05,83.69729,180.46301,317.02637,SER,3.178637
194.8641110391759,28.54079659908259,0.02708734610842422,0.0001208813778189917,61.98407,90.19539,115.36283,SER,6.148431
195.560589245425,24.43796298697989,0.06943956775060882,3.642229486317677e-06,40.54345,56.651783,70.876,SER,5.817078
196.391249573433,24.41404339896415,0.06058138987788071,1.782130854953413e-05,150.05048,273.58438,426.67682,SER,6.069386
193.5896448349812,32.76119463643056,0.05449741842327046,1.372177011518935e-06,8.947194,9.500564,9.352397,REX,0.44397506
195.6589408509986,28.50188148421108,0.01929363909290141,1.994755254741311e-05,199.51282,375.94385,584.7037,SER,9.095664
194.0075716515349,25.49195202957861,0.07934406017722535,1.931059223793689e-06,74.09374,127.62553,188.96278,SER,0.6193484
195.4007244543927,24.8164006857041,0.07478023289942692,2.294766631187852e-06,9.994426,12.719323,14.644826,REX,0.34854707
194.0053125757141,27.44003549115669,0.02507795563478644,8.620500170707462e-05,19.786547,39.095356,59.342228,SER,2.4241805
193.4963427185046,32.65525140314205,0.02319331161350528,5.43219645958071e-06,143.5201,200.19574,241.33882,SER,6.6008573
195.0152879490968,26.82041187299978,0.07846856862484997,1.459989480772538e-05,201.43248,480.90564,949.3204,SER,3.8935585
195.1550823167108,27.30577225396722,0.03680632117958682,2.533635195290105e-06,2.8189604,3.6318326,9.528057,EXP,0.96758425
195.0040816244569,27.94547605357012,0.02288264568657929,4.283821895637216e-05,141.08739,276.2559,439.58707,SER,7.6362476
195.4382779051059,27.82477316418599,0.02523737219466667,4.611577981140412e-05,26.861225,49.896725,75.208885,SER,2.5157316
196.892529344858,25.27476249388203,0.07285971783278493,5.653301523740186e-06,0.60629314,0.7802958,1.0024323,DEV,0.20645487
193.3794046664595,29.21910637219134,0.04343538061255557,4.277043650405285e-06,0.39919138,0.44281515,0.6462329,REX,0.3012058
196.9216616269122,26.23781375862655,0.07036947559276727,1.685027609616778e-05,106.04102,252.54616,479.47717,SER,1.8599497
194.9342041930937,27.86769265686213,0.02079910854217191,2.920551946223321e-05,170.05852,344.59033,559.99945,SER,4.2198744
194.2130831472546,23.99027637085477,0.06385814287770196,1.060392286196135e-05,0,0,0,,0
193.6530953735833,28.92991864862366,0.00784609440316027,6.894654645799992e-07,25.720419,31.382927,17.883438,SER,1.5224199
194.9943023741561,25.88808977736289,0.06947412194098243,3.663122914626374e-06,50.261574,81.21103,112.8737,SER,2.4945614
195.1843527404478,27.85832749540278,0.01762988002978759,4.045134473465901e-05,11.133425,20.309326,29.554531,REX,1.1373696
195.9791526557727,27.71183808281535,0.02454159062793579,0.0001071451770696217,11.83975,19.84975,25.940882,SER,3.4643722
194.9246823891739,32.2980930940756,0.000567177231612569,9.565923674381174e-05,8.066919,10.04946,10.815238,PSF,0
196.6051121840269,31.94456764563336,0.06132388096056612,9.064547372064163e-06,19.127243,26.225033,32.590443,SER,3.0842853
196.9499507673768,32.13684064272356,0.05098966042841178,6.091666925693119e-07,7.527975,8.225689,9.934828,REX,0.50171965
197.4291706803992,24.67130676462826,0.0421718719338645,2.118988197023036e-05,120.47421,259.60577,441.44992,SER,1.7574186
193.6873439809876,27.41108116371571,0.02587186852236873,3.272070550256941e-05,60.67964,114.885994,179.81158,SER,3.9340847
193.9387793321068,28.76508064705508,0.02248736364833485,2.541596794186229e-05,40.736485,78.246925,121.6914,SER,2.6348166
194.0824523330808,27.75107403070493,0.02302241663115065,1.054680887180429e-05,0,0,0,DUP,0
194.379715235475,25.48371840482167,0.07789834559307408,2.162844889408615e-06,22.393885,34.866543,47.57432,SER,2.687414
193.6070268040597,28.74324896496768,9.46831188114888e-05,0.0001025375450885402,2.467164,3.4306426,3.845413,PSF,0
195.9949393497756,26.23439317191405,0.02681081998065424,3.402158090950923e-06,36.172565,48.642277,59.070446,SER,2.7958095
195.225781585013,27.22971046929558,0.07852769243123658,1.722188191256033e-05,0.45581776,0.36405995,0.50404954,REX,0.42747775
195.259987762891,27.77532388586283,0.01725803454483043,6.2493479129844e-06,30.604124,44.644398,54.31315,SER,2.6895065
194.7073970221866,27.91988659394632,0.06080257539207112,3.596489340869407e-06,12.481371,23.485552,37.540382,SER,1.5487214
195.1580152451857,28.05745689704765,0.02577798105783286,1.595390506609128e-06,773.865,1355.6868,2212.6177,SER,7.9351287
194.7512092933712,29.1838397227427,0.06110296698199784,1.114997484732893e-05,195.56152,410.2804,700.11487,SER,2.3891528
193.2452668990049,24.40199266522083,0.0713327051262082,1.164899705052409e-05,0,0,0,,0
196.2389097094109,24.14304958278334,0.03877260322279658,9.815899288269142e-06,4.9344516,7.0290217,8.68821,REX,1.436029
194.4498623176943,27.72660328152015,0.06990755226409574,2.770063892319415e-05,136.69836,299.3062,560.9365,SER,7.149895
195.3522151482641,29.30837680743904,0.02387313336891351,7.686691534813495e-06,313.75815,669.07733,1358.1986,PSF,0
195.7392524916932,28.77643857033526,2.071654110547628e-05,1.472190815101425e-05,51.845764,75.75751,86.034424,PSF,0
193.8862148546111,26.90919380820084,0.02610572720770206,4.024193394317333e-05,36.099323,70.314026,113.018364,SER,1.9470905
193.9574271678553,27.08884867698134,0.02303809448044019,7.858927938881815e-05,62.733757,113.86414,165.69171,SER,5.699499
194.1609489779185,26.87607860429911,0.02309465271198419,4.610446772789151e-05,16.079176,29.684185,45.252995,REX,3.3493278
198.3184888964784,25.73249422869965,0.04253118619015543,7.206371317584923e-06,14.851805,19.111351,22.237013,SER,1.546054
196.2951479829528,28.75217703490858,0.01976550617877293,3.683729712920981e-06,6.931699,10.556455,11.940043,EXP,2.2406197
196.3734648386076,23.98561606132053,0.07374990140549174,1.936660517542726e-05,0.6916153,0.9250612,1.5328962,REX,0.403331
193.954192439993,27.90585651089726,0.02319196951310028,6.013194187035143e-06,522.1352,1104.2379,1942.3376,SER,4.37577
196.9532397859834,26.3582160641975,0.0639744253924791,7.805715191178799e-06,15.967087,24.28334,31.47775,EXP,1.5615069
194.3029272922836,28.13365256140402,0.02331265347588272,4.677284925571852e-05,52.187546,95.3634,139.68143,SER,5.0636024
195.2879417215004,28.92322371423205,0.06683163596372754,2.480943896261974e-05,0.79147285,1.0362419,1.6838841,REX,0.96370167
193.2619739141458,25.59184906153533,0.05978825159533975,1.010647837791225e-05,23.05078,36.21815,46.754692,SER,4.6973543
196.5113172358372,25.22388443135372,0.07822688993789129,2.081611903980118e-05,52.031685,113.74284,200.83505,SER,1.8227836
191.7568350032616,26.99100987796702,0.02046234294426522,3.422777120179094e-06,24.491064,40.083946,54.13199,SER,0.91162694
